"id","user_id","simu_id","matches","potential_matches","potential_matches_sources","tribe_matched","last_invited_at"
"1397","1873","10",1,0,"{""source"":[]}","{""tribes"":[[1859,1873,1889]],""tribes_score"":[508.9887604774335],""highlights_count"":[301],""times"":[""2019-07-08T11:58:50.337-04:00""],""penalties"":[0]}","2019-07-08 15:58:50.337175"
"1398","1873","20",1,0,"{""source"":[]}","{""tribes"":[[1859,1873,1899]],""tribes_score"":[497.57117087388815],""highlights_count"":[145],""times"":[""2019-07-08T11:58:50.337-04:00""],""penalties"":[0]}","2019-07-08 15:58:50.337175"
"1400","1873","30",1,0,"{""source"":[]}","{""tribes"":[[1859,1873,1899]],""tribes_score"":[497.57117087388815],""highlights_count"":[145],""times"":[""2019-07-08T11:58:50.337-04:00""],""penalties"":[0]}","2019-07-08 15:58:50.337175"
"1402","1873","40",1,0,"{""source"":[]}","{""tribes"":[[1859,1873,1899]],""tribes_score"":[497.57117087388815],""highlights_count"":[145],""times"":[""2019-07-08T11:58:50.337-04:00""],""penalties"":[0]}","2019-07-08 15:58:50.337175"
"1404","1873","50",1,0,"{""source"":[]}","{""tribes"":[[1859,1873,1899]],""tribes_score"":[497.57117087388815],""highlights_count"":[145],""times"":[""2019-07-08T11:58:50.337-04:00""],""penalties"":[0]}","2019-07-08 15:58:50.337175"
"1406","1873","0_5",1,0,"{""source"":[]}","{""tribes"":[[1859,1873,1889]],""tribes_score"":[508.9887604774335],""highlights_count"":[301],""times"":[""2019-07-08T11:58:50.337-04:00""],""penalties"":[-5]}","2019-07-08 15:58:50.337175"
"1407","1873","20_5",1,0,"{""source"":[]}","{""tribes"":[[1859,1873,1899]],""tribes_score"":[497.57117087388815],""highlights_count"":[145],""times"":[""2019-07-08T11:58:50.337-04:00""],""penalties"":[-5]}","2019-07-08 15:58:50.337175"
"1409","1873","0_20",1,0,"{""source"":[]}","{""tribes"":[[1859,1873,1899]],""tribes_score"":[497.57117087388815],""highlights_count"":[145],""times"":[""2019-07-08T11:58:50.337-04:00""],""penalties"":[-20]}","2019-07-08 15:58:50.337175"
"1411","1873","20_20",1,0,"{""source"":[]}","{""tribes"":[[1859,1873,1899]],""tribes_score"":[497.57117087388815],""highlights_count"":[145],""times"":[""2019-07-08T11:58:50.337-04:00""],""penalties"":[-20]}","2019-07-08 15:58:50.337175"
"1413","1873","0_30",1,0,"{""source"":[]}","{""tribes"":[[1859,1873,1899]],""tribes_score"":[497.57117087388815],""highlights_count"":[145],""times"":[""2019-07-08T11:58:50.337-04:00""],""penalties"":[-30]}","2019-07-08 15:58:50.337175"
