"id","user_id","simu_id","matches","potential_matches","potential_matches_sources","tribe_matched","last_invited_at"
"4006","2155","0_30",2,0,"{""source"":[]}","{""tribes"":[[2116,2144,2155],[2176,2144,2155]],""tribes_score"":[493.094565281055,421.38471727463036],""highlights_count"":[51,40],""times"":[""2019-07-11T04:07:36.804-04:00"",""2019-07-20T23:19:36.804-04:00""],""penalties"":[-30,-0.0]}","2019-07-21 03:19:36.804076"
"4008","2155","10_30",2,0,"{""source"":[]}","{""tribes"":[[2116,2144,2155],[2176,2144,2155]],""tribes_score"":[493.094565281055,421.38471727463036],""highlights_count"":[51,40],""times"":[""2019-07-11T04:07:36.804-04:00"",""2019-07-20T23:19:36.804-04:00""],""penalties"":[-30,0]}","2019-07-21 03:19:36.804076"
"4010","2155","20_30",2,0,"{""source"":[]}","{""tribes"":[[2116,2144,2155],[2176,2144,2155]],""tribes_score"":[493.094565281055,421.38471727463036],""highlights_count"":[51,40],""times"":[""2019-07-11T04:07:36.804-04:00"",""2019-07-20T23:19:36.804-04:00""],""penalties"":[-30,0]}","2019-07-21 03:19:36.804076"
"4403","2168","0_10",1,0,"{""source"":[]}","{""tribes"":[[2178,2168,2121]],""tribes_score"":[334.2638791930295],""highlights_count"":[86],""times"":[""2019-07-21T12:46:00.804-04:00""],""penalties"":[-10]}","2019-07-21 16:46:00.804076"
"4404","2168","10_10",1,0,"{""source"":[]}","{""tribes"":[[2178,2168,2121]],""tribes_score"":[334.2638791930295],""highlights_count"":[86],""times"":[""2019-07-21T12:46:00.804-04:00""],""penalties"":[-10]}","2019-07-21 16:46:00.804076"
"4405","2168","20_10",1,0,"{""source"":[]}","{""tribes"":[[2178,2168,2121]],""tribes_score"":[334.2638791930295],""highlights_count"":[86],""times"":[""2019-07-21T12:46:00.804-04:00""],""penalties"":[-10]}","2019-07-21 16:46:00.804076"
"4406","2168","0_20",1,0,"{""source"":[]}","{""tribes"":[[2178,2168,2182]],""tribes_score"":[315.2671231666483],""highlights_count"":[44],""times"":[""2019-07-21T12:46:00.804-04:00""],""penalties"":[-20]}","2019-07-21 16:46:00.804076"
"4407","2182","0_20",1,0,"{""source"":[]}","{""tribes"":[[2178,2168,2182]],""tribes_score"":[315.2671231666483],""highlights_count"":[44],""times"":[""2019-07-21T12:46:00.804-04:00""],""penalties"":[-20]}","2019-07-21 16:46:00.804076"
"4409","2182","10_20",1,0,"{""source"":[]}","{""tribes"":[[2178,2168,2182]],""tribes_score"":[315.2671231666483],""highlights_count"":[44],""times"":[""2019-07-21T12:46:00.804-04:00""],""penalties"":[-20]}","2019-07-21 16:46:00.804076"
"4410","2168","20_20",1,0,"{""source"":[]}","{""tribes"":[[2178,2168,2182]],""tribes_score"":[315.2671231666483],""highlights_count"":[44],""times"":[""2019-07-21T12:46:00.804-04:00""],""penalties"":[-20]}","2019-07-21 16:46:00.804076"
"4411","2182","20_20",1,0,"{""source"":[]}","{""tribes"":[[2178,2168,2182]],""tribes_score"":[315.2671231666483],""highlights_count"":[44],""times"":[""2019-07-21T12:46:00.804-04:00""],""penalties"":[-20]}","2019-07-21 16:46:00.804076"
"4412","2168","0_30",1,0,"{""source"":[]}","{""tribes"":[[2178,2168,2182]],""tribes_score"":[315.2671231666483],""highlights_count"":[44],""times"":[""2019-07-21T12:46:00.804-04:00""],""penalties"":[-30]}","2019-07-21 16:46:00.804076"
"4413","2182","0_30",1,0,"{""source"":[]}","{""tribes"":[[2178,2168,2182]],""tribes_score"":[315.2671231666483],""highlights_count"":[44],""times"":[""2019-07-21T12:46:00.804-04:00""],""penalties"":[-30]}","2019-07-21 16:46:00.804076"
"4414","2168","10_30",1,0,"{""source"":[]}","{""tribes"":[[2178,2168,2182]],""tribes_score"":[315.2671231666483],""highlights_count"":[44],""times"":[""2019-07-21T12:46:00.804-04:00""],""penalties"":[-30]}","2019-07-21 16:46:00.804076"
"4415","2182","10_30",1,0,"{""source"":[]}","{""tribes"":[[2178,2168,2182]],""tribes_score"":[315.2671231666483],""highlights_count"":[44],""times"":[""2019-07-21T12:46:00.804-04:00""],""penalties"":[-30]}","2019-07-21 16:46:00.804076"
"4416","2168","20_30",1,0,"{""source"":[]}","{""tribes"":[[2178,2168,2182]],""tribes_score"":[315.2671231666483],""highlights_count"":[44],""times"":[""2019-07-21T12:46:00.804-04:00""],""penalties"":[-30]}","2019-07-21 16:46:00.804076"
"4417","2182","20_30",1,0,"{""source"":[]}","{""tribes"":[[2178,2168,2182]],""tribes_score"":[315.2671231666483],""highlights_count"":[44],""times"":[""2019-07-21T12:46:00.804-04:00""],""penalties"":[-30]}","2019-07-21 16:46:00.804076"
"4314","2160","0",2,0,"{""source"":[]}","{""tribes"":[[2169,2108,2160],[2180,2160,2132]],""tribes_score"":[489.1987256735438,391.0044059496339],""highlights_count"":[26,56],""times"":[""2019-07-19T00:17:12.804-04:00"",""2019-07-22T02:12:24.804-04:00""],""penalties"":[0,-0.0]}","2019-07-22 06:12:24.804076"
"4315","2160","10",2,0,"{""source"":[]}","{""tribes"":[[2169,2108,2160],[2180,2160,2132]],""tribes_score"":[489.1987256735438,391.0044059496339],""highlights_count"":[26,56],""times"":[""2019-07-19T00:17:12.804-04:00"",""2019-07-22T02:12:24.804-04:00""],""penalties"":[0,0]}","2019-07-22 06:12:24.804076"
"4316","2160","20",3,0,"{""source"":[]}","{""tribes"":[[2169,2108,2160],[2173,2160,2132],[2180,2160,2132]],""tribes_score"":[489.1987256735438,500.8122319075476,391.0044059496339],""highlights_count"":[26,60,56],""times"":[""2019-07-19T00:17:12.804-04:00"",""2019-07-20T03:10:00.804-04:00"",""2019-07-22T02:12:24.804-04:00""],""penalties"":[0,0,0]}","2019-07-22 06:12:24.804076"
"4317","2160","30",3,0,"{""source"":[]}","{""tribes"":[[2169,2108,2160],[2173,2160,2108],[2180,2160,2132]],""tribes_score"":[489.1987256735438,489.2438815120564,391.0044059496339],""highlights_count"":[26,60,56],""times"":[""2019-07-19T00:17:12.804-04:00"",""2019-07-20T03:10:00.804-04:00"",""2019-07-22T02:12:24.804-04:00""],""penalties"":[0,0,0]}","2019-07-22 06:12:24.804076"
"4318","2160","40",3,0,"{""source"":[]}","{""tribes"":[[2169,2108,2160],[2173,2160,2108],[2180,2160,2132]],""tribes_score"":[489.1987256735438,489.2438815120564,391.0044059496339],""highlights_count"":[26,60,56],""times"":[""2019-07-19T00:17:12.804-04:00"",""2019-07-20T03:10:00.804-04:00"",""2019-07-22T02:12:24.804-04:00""],""penalties"":[0,0,0]}","2019-07-22 06:12:24.804076"
"4319","2160","50",3,0,"{""source"":[]}","{""tribes"":[[2169,2108,2160],[2173,2160,2108],[2180,2160,2132]],""tribes_score"":[489.1987256735438,489.2438815120564,391.0044059496339],""highlights_count"":[26,60,56],""times"":[""2019-07-19T00:17:12.804-04:00"",""2019-07-20T03:10:00.804-04:00"",""2019-07-22T02:12:24.804-04:00""],""penalties"":[0,0,0]}","2019-07-22 06:12:24.804076"
"4320","2160","0_10",2,0,"{""source"":[]}","{""tribes"":[[2169,2108,2160],[2180,2160,2173]],""tribes_score"":[489.1987256735438,389.02521471188663],""highlights_count"":[26,72],""times"":[""2019-07-19T00:17:12.804-04:00"",""2019-07-22T02:12:24.804-04:00""],""penalties"":[-10,-0.0]}","2019-07-22 06:12:24.804076"
"4418","2173","0_10",1,0,"{""source"":[]}","{""tribes"":[[2180,2160,2173]],""tribes_score"":[389.02521471188663],""highlights_count"":[72],""times"":[""2019-07-22T02:12:24.804-04:00""],""penalties"":[-10]}","2019-07-22 06:12:24.804076"
"4321","2160","10_10",2,0,"{""source"":[]}","{""tribes"":[[2169,2108,2160],[2180,2160,2173]],""tribes_score"":[489.1987256735438,389.02521471188663],""highlights_count"":[26,72],""times"":[""2019-07-19T00:17:12.804-04:00"",""2019-07-22T02:12:24.804-04:00""],""penalties"":[-10,0]}","2019-07-22 06:12:24.804076"
"4419","2173","10_10",1,0,"{""source"":[]}","{""tribes"":[[2180,2160,2173]],""tribes_score"":[389.02521471188663],""highlights_count"":[72],""times"":[""2019-07-22T02:12:24.804-04:00""],""penalties"":[-10]}","2019-07-22 06:12:24.804076"
"4322","2160","20_10",2,0,"{""source"":[]}","{""tribes"":[[2169,2108,2160],[2180,2160,2173]],""tribes_score"":[489.1987256735438,389.02521471188663],""highlights_count"":[26,72],""times"":[""2019-07-19T00:17:12.804-04:00"",""2019-07-22T02:12:24.804-04:00""],""penalties"":[-10,0]}","2019-07-22 06:12:24.804076"
"4420","2173","20_10",1,0,"{""source"":[]}","{""tribes"":[[2180,2160,2173]],""tribes_score"":[389.02521471188663],""highlights_count"":[72],""times"":[""2019-07-22T02:12:24.804-04:00""],""penalties"":[-10]}","2019-07-22 06:12:24.804076"
