"id","user_id","simu_id","matches","potential_matches","potential_matches_sources","tribe_matched","last_matched_at"
"858","1196","0_20",1,0,"{""source"":[]}","{""tribes"":[[749,1203,1196]],""tribes_score"":[532.1636872851493],""highlights_count"":[103],""times"":[1.77],""penalties"":[-10.0]}","1.77"
"859","1203","10_20",1,0,"{""source"":[]}","{""tribes"":[[749,1203,1196]],""tribes_score"":[532.1636872851493],""highlights_count"":[103],""times"":[1.77],""penalties"":[-10.0]}","1.77"
"860","1196","10_20",1,0,"{""source"":[]}","{""tribes"":[[749,1203,1196]],""tribes_score"":[532.1636872851493],""highlights_count"":[103],""times"":[1.77],""penalties"":[-10.0]}","1.77"
"861","1413","1",1,0,"{""source"":[]}","{""tribes"":[[747,1413,703]],""tribes_score"":[431.8122049523063],""highlights_count"":[40],""times"":[1.7999999999999998],""penalties"":[0]}","1.8"
"862","703","1",1,0,"{""source"":[]}","{""tribes"":[[747,1413,703]],""tribes_score"":[431.8122049523063],""highlights_count"":[40],""times"":[1.7999999999999998],""penalties"":[0]}","1.8"
"863","1413","11",1,0,"{""source"":[]}","{""tribes"":[[747,1413,703]],""tribes_score"":[431.8122049523063],""highlights_count"":[40],""times"":[1.7999999999999998],""penalties"":[0]}","1.8"
"864","703","11",1,0,"{""source"":[]}","{""tribes"":[[747,1413,703]],""tribes_score"":[431.8122049523063],""highlights_count"":[40],""times"":[1.7999999999999998],""penalties"":[0]}","1.8"
"865","1413","21",1,0,"{""source"":[]}","{""tribes"":[[747,1413,703]],""tribes_score"":[431.8122049523063],""highlights_count"":[40],""times"":[1.7999999999999998],""penalties"":[0]}","1.8"
"849","1196","21",2,0,"{""source"":[]}","{""tribes"":[[749,1203,1196],[770,966,1196]],""tribes_score"":[532.1636872851493,517.9754863500158],""highlights_count"":[103,108],""times"":[1.77,2.55],""penalties"":[0,""4.62""]}","2.55"
"845","1169","1",2,0,"{""source"":[]}","{""tribes"":[[749,1169,1116],[750,835,1169]],""tribes_score"":[543.9362792205013,528.5895204824205],""highlights_count"":[249,153],""times"":[1.77,1.8599999999999999],""penalties"":[0,""0.91""]}","1.86"
